Reference,Quantity,Value,Description,Manufacturer,Manufacturer part number,Distributor part number,Status,Digi-Key PN,Packaging,Stock
"R143, R283, R311",3,1Meg,RES 1M OHM 1% 1/16W 0402,TE Connectivity Passive Product,CRGCQ0402F1M0,A129663CT-ND,OK,A129663CT-ND,Cut Tape (CT),4460533
"R110, R223, R241, R243, R315",5,30K1,RES 30.1K OHM 1% 1/16W 0402,YAGEO,RC0402FR-0730K1L,311-30.1KLRCT-ND,OK,311-30.1KLRCT-ND,Cut Tape (CT),930921
X2,1,ABM11-20.000MHZ-D2X-T3,CRYSTAL 20.0000MHZ 10PF SMD,Abracon LLC,ABM11-20.000MHZ-D2X-T3,535-10939-1-ND,OK,535-10939-1-ND,Cut Tape (CT),84624
X1,1,CMA-4544PF-W,MICROPHONE COND ANALOG OMNI,CUI Devices,CMA-4544PF-W,102-1721-ND,OK,102-1721-ND,Box,19366
"J24, J27",2,HEADER 2,CONN HEADER VERT 2POS 2MM,Adam Tech,2PH1-02-UA,2057-PH1-02-UA-ND,OK,2057-2PH1-02-UA-ND,Bulk,15408
"C293, C295",2,10p,CAP CER 10PF 50V C0G/NPO 0402,YAGEO,CC0402JRNPO9BN100,311-1014-1-ND,OK,311-1014-1-ND,Cut Tape (CT),2176621
J37,1,2998TR,BATT RETAINR COIN 6.8MM 1CEL SMD,Keystone Electronics,2998TR,36-2998CT-ND,OK,36-2998CT-ND,Cut Tape (CT),542446
MT1-MT4,4,M2.5x3mm,RND STANDOFF M2.5X0.45 STEEL 3MM,W?th Elektronik,9774030151R,732-7083-1-ND,OK,732-7083-1-ND,Cut Tape (CT),59328
U54,1,MCP7940N,IC RTC CLK/CALENDAR I2C 8MSOP,Microchip Technology,MCP7940NT-I/MS,MCP7940NT-I/MSCT-ND,OK,MCP7940NT-I/MSCT-ND,Cut Tape (CT),40865
R312-R313,2,510K,RES 510K OHM 1% 1/16W 0402,YAGEO,RC0402FR-07510KL,311-510KLRCT-ND,OK,311-510KLRCT-ND,Cut Tape (CT),227845
Y1,1,32.768kHz,CRYSTAL 32.7680KHZ 7PF SMD,Abracon LLC,ABS07-32.768KHZ-7-T,535-9543-1-ND,OK,535-9543-1-ND,Cut Tape (CT),706153
"U17-U18, U40, U52",4,SN74LVC1G125DBVR,IC BUFF NON-INVERT 5.5V SOT23-5,Texas Instruments,SN74LVC1G125DBVR,296-11603-1-ND,OK,296-11603-1-ND,Cut Tape (CT),104859
U55,1,SN74LVC1G07DBVR,IC BUF NON-INVERT 5.5V SOT23-5,Texas Instruments,SN74LVC1G07DBVR,296-8485-1-ND,OK,296-8485-1-ND,Cut Tape (CT),45681
"R54, R56",2,60R4,RES SMD 60.4 OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF60R4V,P60.4HCT-ND,OK,P60.4HCT-ND,Cut Tape (CT),216722
J22,1,HEADER 3,CONN HEADER VERT 3POS 2.54MM,Molex,22232031,WM4201-ND,OK,WM4201-ND,Bulk,60386
D34-D35,2,ESDCAN24-2BLY,TVS DIODE 24VWM 40VC SOT23-3,STMicroelectronics,ESDCAN24-2BLY,497-13262-1-ND,OK,497-13262-1-ND,Cut Tape (CT),174119
C55,1,100p,CAP CER 100PF 50V C0G/NPO 0603,YAGEO,CC0603JRNPO9BN101,311-1069-1-ND,OK,311-1069-1-ND,Cut Tape (CT),1204098
L1,1,ACT45B-220,CMC 22UH 200MA 2LN 1.2KOHM SMD,TDK Corporation,ACT45B-220-2P-TL003,,OK,445-3957-1-ND,Cut Tape (CT),62414
U15,1,MCP2562FD,IC TRANSCEIVER 1/1 8SOIC,Microchip Technology,MCP2562FD-E/SN,MCP2562FD-E/SN-ND,OK,MCP2562FD-E/SN-ND,Tube,92786
"J7, J15, J35-J36",4,HEADER 3,CONN HEADER VERT 3POS 2.54MM,W?th Elektronik,61300311121,732-5316-ND,OK,732-5316-ND,Bulk,157648
J10,1,2086581001,CONN RCPT HDMI V2.1 19POS SMD RA,Molex,2086581001,900-2086581001CT-ND,OK,900-2086581001CT-ND,Cut Tape (CT),20
J14,1,0826-1X1T-32-F,CONN JACK 1PORT 1000 BASE-T PCB,Bel Fuse Inc.,0826-1X1T-32-F,507-1606-ND,OK,507-1606-ND,Tray,49804
"J2, J4",2,484050003,CONN RCPT USB3.0 TYPEA 9POS R/A,Molex,484050003,WM10419-ND,OK,WM10419-ND,Tray,30280
"J8-J9, J11",3,SJ-352X-SMT,CONN JACK STEREO 3.5MM SMD R/A,CUI Devices,SJ-3523-SMT-TR,CP-3523SJCT-ND,OK,CP-3523SJCT-ND,Cut Tape (CT),20131
FB1-FB10,10,BLM18PG121SN1D,FERRITE BEAD 120 OHM 0603 1LN,Murata Electronics,BLM18PG121SN1D,490-1037-1-ND,OK,490-1037-1-ND,Cut Tape (CT),170865
U39,1,STM6710DWB6F,IC SUPERVISOR 4 CHANNEL SOT23-6,STMicroelectronics,STM6710DWB6F,497-10354-1-ND,OK,497-10354-1-ND,Cut Tape (CT),9307
"R231, R247",2,1K,RES 1K OHM 1% 1/16W 0402,YAGEO,RC0402FR-071KL,311-1.00KLRCT-ND,OK,311-1.00KLRCT-ND,Cut Tape (CT),18860537
"U26-U27, U29-U30, U32-U33",6,MCP6L91,IC OPAMP GP 1 CIRCUIT SOT23-5,Microchip Technology,MCP6L91T-E/OT,MCP6L91T-E/OTCT-ND,OK,MCP6L91T-E/OTCT-ND,Cut Tape (CT),12581
"D45, D47, D49",3,SM05T1G,TVS DIODE 5VWM 9.8VC SOT23-3,onsemi,SM05T1G,SM05T1GOSCT-ND,OK,SM05T1GOSCT-ND,Cut Tape (CT),6000
"R200, R207, R214",3,200m,RES 0.2 OHM 1% 1/4W 0805,Yageo,RL0805FR-7W0R2L,311-0.2LUCT-ND,OK,311-0.2LUCT-ND,Cut Tape (CT),25931
"U25, U28, U31",3,DRV8872,IC MOTOR DRVR UNIPLR 8SO PWRPAD,Texas Instruments,DRV8872DDAR,296-42661-1-ND,OK,296-42661-1-ND,Cut Tape (CT),16980
"C128, C138, C148, C156-C157",5,100uF,CAP ALUM 100UF 20% 35V SMD,Nichicon,UCL1V101MCL6GS,493-3953-1-ND,OK,493-3953-1-ND,Cut Tape (CT),208446
"U1, U20-U21, U48-U49",5,AP22913W6,IC PWR SWITCH P-CHAN 1:1 SOT26,Diodes Incorporated,AP22913W6-7,AP22913W6-7DICT-ND,OK,AP22913W6-7DICT-ND,Cut Tape (CT),83420
